tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-death-comments,animal-life-stage,animal-reproductive-condition,animal-sex,animal-taxon-detail,attachment-type,deploy-off-latitude,deploy-off-longitude,deploy-on-latitude,deploy-on-longitude,deploy-on-person,deployment-comments,deployment-end-comments,deployment-end-type,deployment-id,manipulation-type,study-site,tag-beacon-frequency,tag-manufacturer-name,tag-model,tag-serial-no
car023,BP_car023,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on Telemetry. cod Unknown.  Suspected wolf predation,,,f,caribou,collar,55.35056319,-122.3520333,55.33143354,-122.27706,MW,,,dead,car023_car023,none,Burnt Pine,151.671,,VHF,
car011,KE_car011,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,55.42793026,-122.8737792,55.1974871,-122.4039453,MW,Replacement for failed GPS collar 151.871.,,dead,car011_car011_2,none,Kennedy,151.871,Televilt,GPS,
car024,KE_car024,Rangifer tarandus,00:00.0,59:00.0,,,pregnant: Yes; with calf: Y,f,caribou,collar,,,55.11430982,-122.8176887,EJ/DH/GW,Cow with calf. Left antler broke during capture. Fecal sample taken from ground.,,removal,car024_car024,none,Kennedy,148.12,ATS,GPS,
car010,MO_car010,Rangifer tarandus,00:00.0,59:00.0,,,pregnant: Yes; with calf:,f,caribou,collar,,,55.74097258,-122.6244912,EJ/DH/GW,Replacement for failed GPS collar 151.980. Fecal sample taken from ground.,,removal,car010_car010_2,none,Moberly,151.98,Televilt,GPS,
car025,KE_car025,Rangifer tarandus,00:00.0,59:00.0,,,pregnant: No; with calf: Y,f,caribou,collar,,,55.10778298,-122.8158218,EJ/DH/GW,Cow with calf.  Relatively young female. Fecal sample taken from caribou.,,removal,car025_car025,none,Kennedy,148.777,ATS,GPS,
car020,MO_car020,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,55.62222675,-122.4745015,EJ/DH/GW,Very fat cow. Fecal sample taken from ground.,,removal,car020_car020_2,none,Moberly,151.96,Televilt,GPS,
car027,KE_car027,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on Reported. cod Train collision,,with calf: Unk,f,caribou,collar,55.10001031,-122.8284576,55.10919648,-122.8175866,EJ/DH/GW,Cow - 7 or 8 in group.,,dead,car027_car027,none,Kennedy,148.36,,VHF,
car028,KE_car028,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on Telemetry. cod Unknown.  Suspected predation,,pregnant: Yes; with calf: N,f,caribou,collar,55.18750331,-122.2610877,55.10936852,-122.8184636,EJ/DH/GW,"2 cows, 1 bull.",,dead,car028_car028,none,Kennedy,148.45,,VHF,
car026,KE_car026,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on Telemetry. cod Predation - Wolf,,,m,caribou,collar,55.33195405,-122.7517941,55.12425829,-122.8372135,EJ/DH/GW,BULL.  Relatively young bull. Left antler tine broken.,,dead,car026_car026,none,Kennedy,148.43,,VHF,
car029,HR_car029,Rangifer tarandus,00:00.0,59:00.0,,,pregnant: Yes; with calf: Unk,f,caribou,collar,,,54.64064391,-121.8693721,EJ/DH/GW,7 caribou in group. Ultrasound batteries dead.  Estimated backfat from surgery (min. estimate as Doug didn't want to push scapel to far as potential for nerve damage).,,removal,car029_car029,none,Hart Ranges,148.398,ATS,GPS,
