"","X","Y","animal.id","jdate","pres_bkg","MAP_LABEL","conif","age_class","cc_class","HARVEST_YEAR","WATERBODY_TYPE","STREAM_ORDER","ROAD_SURFACE","layer","focal_sum","elevation","slope","aspect","TRI"
"1002",1167132.043538,1212038.56266542,"SC_car169",16100,1,"ESSFwc3","TC",9,5,NA,NA,NA,NA,2.39489498373604,NA,1393.79541015625,13.2574491500854,7.20587396621704,5.08517456054688
"1003",1166813.95806905,1212660.40241661,"SC_car169",16101,1,"ESSFwc3","TC",8,5,NA,NA,NA,NA,1.7942756987498,NA,1503.21911621094,16.5354099273682,187.424179077148,5.74922180175781
"1004",1166441.25053146,1212616.44495184,"SC_car169",16102,1,"ESSFwc3","TC",9,5,NA,NA,NA,NA,1.49196725269827,NA,1516.35522460938,11.1961879730225,63.1516914367676,3.65361022949219
"1005",1167068.52231166,1212522.67533426,"SC_car169",16103,1,"ESSFwc3","TC",8,5,NA,NA,NA,NA,2.04708531463694,NA,1457.25927734375,17.2003059387207,153.423385620117,6.0657958984375
"1006",1166784.67232509,1212127.17433353,"SC_car169",16104,1,"ESSFwc3","TC",9,5,NA,NA,NA,NA,2.05538243149061,NA,1420.99829101562,8.13548374176025,124.009773254395,2.74320983886719
"1007",1166947.5902582,1212148.15585642,"SC_car169",16105,1,"ESSFwc3","TC",9,5,NA,NA,NA,NA,2.17427131234357,NA,1408.40185546875,4.69649648666382,137.128540039062,1.75965881347656
"1008",1166588.81654742,1212011.44363662,"SC_car169",16106,1,"ESSFwc3","TC",9,5,NA,NA,NA,NA,1.99040811629495,NA,1426.07629394531,5.79602336883545,196.224975585938,2.2803955078125
"1009",1166751.01164219,1211932.01962159,"SC_car169",16107,1,"ESSFwc3","TC",9,4,NA,NA,NA,NA,2.16809717025789,NA,1412.75146484375,9.01104164123535,1.19751310348511,3.20260620117188
"1010",1167351.86456158,1212483.53546673,"SC_car169",16108,1,"ESSFwc3","TC",9,5,NA,NA,NA,NA,1.93956833738908,NA,1379.16149902344,11.8147268295288,147.501754760742,4.00929260253906
"1011",1166140.35211776,1211822.73486241,"SC_car169",16110,1,"ESSFwc3","TC",9,4,NA,NA,NA,NA,1.87042367530583,NA,1516.22021484375,19.1021785736084,97.7692947387695,6.71231079101562
"1012",1166022.72661715,1212522.35792853,"SC_car169",16111,1,"ESSFwc3","TC",9,5,NA,NA,NA,NA,1.23161399898876,NA,1569.95483398438,10.3759346008301,163.897613525391,3.62928771972656
"1013",1166272.31214206,1212549.0341716,"SC_car169",16112,1,"ESSFwc3","TC",9,5,NA,NA,NA,NA,1.39570761253214,NA,1539.51342773438,9.17389392852783,107.333236694336,3.20718383789062
"1014",1166885.2400527,1212181.63795005,"SC_car169",16113,1,"ESSFwc3","TC",9,5,NA,NA,NA,NA,2.10439191684444,NA,1415.4560546875,8.42138004302979,145.852645874023,2.76206970214844
"1015",1167071.74478936,1212094.21569861,"SC_car169",16114,1,"ESSFwc3","TC",9,5,NA,NA,NA,NA,2.30481664848292,NA,1389.48974609375,7.00845050811768,6.88039445877075,2.27839660644531
"1016",1166951.08241668,1211454.71729813,"SC_car169",16115,1,"ESSFwcp",NA,NA,NA,NA,NA,NA,NA,2.64756475699938,NA,1666.8466796875,29.7157020568848,329.353698730469,11.0504608154297
"1017",1166437.48667351,1211341.53260421,"SC_car169",16116,1,"ESSFwcp","TC",9,3,NA,NA,NA,NA,2.43215170685228,NA,1536.306640625,12.1126251220703,12.6022443771362,4.58102416992188
"1018",1167113.25239202,1210623.48695449,"SC_car169",16117,1,"ESSFwc3","TC",9,4,NA,NA,NA,NA,3.40797606249006,NA,1382.92553710938,20.2775115966797,156.424057006836,7.30020141601562
"1019",1166447.93500822,1210507.86277296,"SC_car169",16118,1,"ESSFwc3","TC",8,4,NA,NA,NA,NA,3.16539888878863,NA,1322.54907226562,5.70908546447754,160.406600952148,1.958251953125
"1020",1167108.42161924,1210431.56474277,"SC_car169",16119,1,"ESSFwc3","TC",8,4,NA,NA,NA,NA,3.24722900122195,NA,1328.21118164062,18.9848518371582,191.869003295898,6.738037109375
"1021",1167005.80525295,1210754.42247947,"SC_car169",16120,1,"ESSFwc3","TC",9,6,NA,NA,NA,NA,3.22772219103584,NA,1428.99914550781,21.6731643676758,194.499099731445,7.78848266601562
"1022",1167155.13639771,1210578.09156235,"SC_car169",16121,1,"ESSFwc3","TC",9,6,NA,NA,NA,NA,3.37376731360907,NA,1358.10009765625,21.1343059539795,151.566223144531,7.89315795898438
"1023",1167589.66912587,1210036.48007801,"SC_car169",16122,1,"ESSFwk2","TC",8,4,NA,NA,NA,NA,2.73149664769645,NA,1249.10632324219,13.4597930908203,351.902862548828,4.64909362792969
"1024",1166738.64848066,1210365.6510962,"SC_car169",16123,1,"ESSFwc3","TC",8,4,NA,NA,NA,NA,3.3212179155319,NA,1288.00659179688,16.5762748718262,185.601272583008,5.684326171875
"1025",1166728.20481638,1210423.42462803,"SC_car169",16124,1,"ESSFwc3","TC",8,4,NA,NA,NA,NA,3.36636542021956,NA,1303.02868652344,15.7512083053589,195.085388183594,5.54730224609375
"1026",1167097.20426436,1210671.9873828,"SC_car169",16125,1,"ESSFwc3","TC",9,4,NA,NA,NA,NA,3.35263143553019,NA,1401.68701171875,22.6989688873291,180.193542480469,8.11323547363281
"1027",1165548.25042685,1211488.3956102,"SC_car169",16126,1,"ESSFwc3",NA,NA,NA,NA,NA,NA,NA,1.95996275675845,NA,1772.06799316406,24.8725910186768,326.057098388672,8.81187438964844
"1028",1166463.51923938,1212045.25993626,"SC_car169",16127,1,"ESSFwc3","TC",9,5,NA,NA,NA,NA,1.88588779955361,NA,1435.07299804688,11.8479261398315,162.151245117188,4.05987548828125
"1029",1167343.88806801,1212036.5309932,"SC_car169",16128,1,"ESSFwc3","TC",9,5,NA,NA,NA,NA,2.37147430629183,NA,1388.36828613281,14.1051683425903,44.1485404968262,4.56843566894531
"1030",1167873.1976032,1212555.89288221,"SC_car169",16129,1,"ESSFwc3","TC",8,5,NA,NA,NA,NA,1.74091547107038,NA,1358.662109375,22.9911708831787,164.605255126953,8.22488403320312
"1031",1167825.50546332,1212385.23621039,"SC_car169",16130,1,"ESSFwc3","TC",8,5,NA,NA,NA,NA,1.91767593128042,NA,1325.11096191406,8.31623363494873,170.349914550781,2.90606689453125
"1032",1167368.7352904,1213214.97501944,"SC_car169",16131,1,"ESSFwc3","TC",8,5,NA,NA,NA,NA,1.2932371342496,NA,1587.28491210938,15.0452260971069,201.443374633789,5.24423217773438
