"location.long","location.lat","comments","tag.local.identifier","animal.id","animal.sex","animal.reproductive.condition","tag.manufacturer.name","tag.model","date_time","year","month","day","hour","minute"
-123.4185633,55.869036,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2013-12-01 18:01:00,2013,12,1,18,1
-123.4184692,55.88851626,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2014-08-01 18:02:00,2014,8,1,18,2
-123.4180528,55.87060116,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2013-12-04 02:01:00,2013,12,4,2,1
-123.4178291,55.88995606,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2014-08-01 02:01:00,2014,8,1,2,1
-123.4175437,55.86932699,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2013-11-30 02:01:00,2013,11,30,2,1
-123.4175133,55.86947086,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2013-11-29 10:02:00,2013,11,29,10,2
-123.4174006,55.77547609,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2014-10-21 10:01:00,2014,10,21,10,1
-123.4173855,55.86948027,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2013-11-30 02:01:00,2013,11,30,2,1
-123.4173445,55.87012735,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-11-25 02:01:00,2013,11,25,2,1
-123.4173253,55.86833037,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-12-03 02:01:00,2013,12,3,2,1
-123.4169268,55.74452305,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-12-17 23:00:26,2012,12,17,23,0
-123.4165856,55.86790158,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-12-05 10:01:00,2013,12,5,10,1
-123.4164459,55.84737078,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-02-13 10:04:00,2015,2,13,10,4
-123.4162552,55.86240374,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2013-07-11 10:02:00,2013,7,11,10,2
-123.4160592,55.87696047,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2014-10-05 18:04:00,2014,10,5,18,4
-123.4160339,55.85216131,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-02-12 02:05:00,2015,2,12,2,5
-123.4156666,55.87013303,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2013-11-27 02:01:00,2013,11,27,2,1
