event.id,timestamp,location.long,location.lat,DOP,FixType,comments,study.specific.measurement,sensor.type,individual.taxon.canonical.name,tag.local.identifier,individual.local.identifier,study.name,date
2269831735,00:42.0,-123.3245583,55.82945232,1.2,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:42.0
2269831736,00:44.0,-123.3257001,55.83045565,1.4,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:44.0
2269831737,00:44.0,-123.3559618,55.8280087,1.2,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:44.0
2269831738,00:25.0,-123.3561744,55.8250699,1,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:25.0
2269831739,00:53.0,-123.3611602,55.82050882,1.2,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:53.0
2269831740,00:43.0,-123.3578235,55.82561322,2.6,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:43.0
2269831741,00:43.0,-123.3636599,55.83012468,1.4,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:43.0
2269831742,00:41.0,-123.3745509,55.83048735,1.4,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:41.0
2269831743,00:42.0,-123.3787531,55.83086086,1.8,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:42.0
2269831744,00:26.0,-123.3918463,55.83268879,1.8,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:26.0
2269831745,00:43.0,-123.3932542,55.83298081,1.6,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:43.0
2269831746,00:44.0,-123.3945018,55.83163801,1.4,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:44.0
2269831747,00:26.0,-123.3919899,55.83108895,1.6,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:26.0
2269831748,00:26.0,-123.4055312,55.82682199,1.8,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:26.0
2269831749,01:18.0,-123.4059002,55.82699149,1.6,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,01:18.0
2269831750,00:43.0,-123.4052471,55.83327435,1.8,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:43.0
2269831751,00:43.0,-123.4020546,55.83487522,1.6,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:43.0
2269831752,00:26.0,-123.4000013,55.83549291,2.6,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:26.0
2269831753,00:26.0,-123.3992145,55.83660964,1.4,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:26.0
2269831754,00:49.0,-123.3984347,55.83530031,1.8,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:49.0
2269831755,00:42.0,-123.4005917,55.8370095,1.4,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:42.0
2269831756,00:25.0,-123.4018689,55.83854181,2.6,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:25.0
2269831757,00:44.0,-123.4019176,55.83862252,1.8,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:44.0
2269831758,00:44.0,-123.402638,55.83879987,1.6,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:44.0
2269831759,00:43.0,-123.402013,55.83857728,1.2,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:43.0
2269831760,00:43.0,-123.4026993,55.83854808,1.6,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:43.0
2269831761,00:43.0,-123.4015449,55.83809361,2.8,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:43.0
2269831762,00:53.0,-123.4023638,55.83853121,1.4,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:53.0
2269831763,00:43.0,-123.4011699,55.83888553,1.4,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:43.0
2269831764,00:44.0,-123.4015455,55.83814752,1.8,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:44.0
2269831765,00:54.0,-123.4079095,55.83747965,1.2,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:54.0
2269831766,00:43.0,-123.4026628,55.83810792,2.2,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:43.0
2269831767,00:43.0,-123.4028632,55.83896087,1.6,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:43.0
2269831768,00:43.0,-123.4028305,55.83888011,1.2,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:43.0
2269831769,00:43.0,-123.4000412,55.84403776,3.6,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:43.0
2269831770,01:42.0,-123.3924932,55.84619157,1.8,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,01:42.0
2269831771,01:22.0,-123.3949992,55.84448534,1.2,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,01:22.0
2269831772,00:25.0,-123.3981114,55.84585005,1.2,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:25.0
2269831773,00:42.0,-123.3945297,55.84700272,2.8,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:42.0
2269831774,01:17.0,-123.3958619,55.84765436,1.4,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,01:17.0
2269831775,01:23.0,-123.3891177,55.84882598,1.2,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,01:23.0
2269831776,00:41.0,-123.3805636,55.85115295,1.4,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:41.0
2269831777,01:22.0,-123.3815727,55.85143736,3,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,01:22.0
2269831778,01:18.0,-123.3814951,55.85166223,2,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,01:18.0
2269831779,00:43.0,-123.3776478,55.86177349,2.6,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:43.0
2269831780,00:41.0,-123.3777417,55.86157552,1.4,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:41.0
2269831781,00:43.0,-123.3765149,55.86192971,2.2,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:43.0
2269831782,00:43.0,-123.3705766,55.86414911,3,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:43.0
2269831783,00:43.0,-123.3705484,55.86118407,1,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:43.0
2269831784,00:43.0,-123.3697881,55.86692791,3.4,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:43.0
2269831785,00:54.0,-123.3727969,55.87075552,2,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:54.0
2269831786,00:54.0,-123.3783345,55.8716012,1.6,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:54.0
2269831787,01:12.0,-123.3782401,55.87175424,1.6,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,01:12.0
2269831788,00:25.0,-123.3765497,55.87047454,1.6,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:25.0
2269831789,00:43.0,-123.3889596,55.86657231,1.4,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:43.0
2269831790,00:47.0,-123.3878128,55.86534495,1.6,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:47.0
2269831791,00:49.0,-123.389528,55.86588764,2.6,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:49.0
2269831792,00:26.0,-123.3904849,55.8657049,2.2,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:26.0
2269831793,00:26.0,-123.3878604,55.86530886,1.2,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:26.0
2269831794,00:44.0,-123.3920246,55.86786544,1.2,val. GPS-3D,Burnt Pine,Winter,gps,Rangifer tarandus,car145,BP_car145,Mountain caribou in British Columbia,00:44.0
